# This file was written from pixieBinParser2.py and was
# parsed from Proximity_scan_120814_0042.bin. The file has been reformatted.
# It was written on May 18, 2015


# pixieBinParser2.py was written by Anders Priest.


Time		E0	E1	E2	E3	E4	E5	E6	E7	

944166754650	413.0	1232.0	230.0	60.0	24.0	17.0	7.0	10.0	
944167415049	31.0	15.0	1.0	-10.0	652.0	141.0	52.0	6.0	
944169020957	1.0	13.0	-30.0	16.0	3.0	59.0	138.0	772.0	
944170577886	792.0	1208.0	298.0	81.0	1489.0	374.0	111.0	39.0	
944170840663	-69.0	388.0	284.0	67.0	144.0	2.0	0.0	17.0	
944172739597	-196.0	-29.0	13.0	35.0	305.0	1467.0	772.0	196.0	
944173057207	7.0	11.0	-7.0	9.0	725.0	589.0	525.0	426.0	
944173788481	682.0	3649.0	1276.0	1171.0	1165.0	268.0	112.0	60.0	
944174676154	13.0	8.0	-3.0	-4.0	133.0	34.0	6.0	20.0	
944175435762	1460.0	199.0	86.0	33.0	107.0	49.0	43.0	-16.0	
944175529423	36.0	49.0	57.0	0.0	160.0	51.0	41.0	41.0	
944176068450	3137.0	963.0	265.0	65.0	160.0	46.0	21.0	-3.0	
944178934145	11.0	45.0	23.0	3.0	251.0	1278.0	758.0	167.0	
944181655646	-21.0	-7.0	0.0	1.0	10.0	102.0	316.0	885.0	
944182422989	16.0	25.0	20.0	53.0	103.0	15.0	-14.0	11.0	
944183011022	199.0	833.0	599.0	184.0	249.0	691.0	2221.0	15352.0	
944184787007	686.0	2655.0	3530.0	926.0	439.0	130.0	53.0	3.0	
944187725886	-4.0	8.0	96.0	834.0	20.0	7.0	-19.0	-10.0	
944187895814	4613.0	10777.0	2352.0	900.0	4.0	-5.0	-1.0	-22.0	
944188888392	53.0	42.0	124.0	860.0	-5.0	9.0	-2.0	1.0	
944189149382	9.0	28.0	84.0	899.0	213.0	59.0	-10.0	-9.0	
944189496002	129.0	101.0	165.0	426.0	-23.0	9.0	10.0	-9.0	
944189903937	-15.0	2.0	24.0	-5.0	510.0	140.0	28.0	-13.0	
944190234645	43.0	36.0	98.0	892.0	26.0	90.0	412.0	1096.0	
944190882134	1.0	6.0	4.0	-7.0	300.0	2627.0	221.0	102.0	
944191683663	2.0	106.0	735.0	124.0	76.0	87.0	146.0	708.0	
944195962324	109.0	17.0	14.0	36.0	48.0	94.0	262.0	944.0	
944198038536	80.0	543.0	666.0	109.0	291.0	246.0	225.0	161.0	
944198452152	137.0	465.0	1518.0	7471.0	-34.0	15.0	334.0	63.0	
944198484096	32.0	52.0	126.0	858.0	33.0	-9.0	-25.0	11.0	
944199062970	37.0	12.0	8.0	21.0	159.0	524.0	2723.0	1067.0	
944199301957	111.0	311.0	1548.0	864.0	218.0	163.0	50.0	17.0	
944199596026	312.0	1711.0	856.0	209.0	123.0	10.0	-5.0	-10.0	
944199880304	16.0	55.0	128.0	405.0	-10.0	-17.0	-20.0	-38.0	
944200460142	668.0	3769.0	503.0	141.0	15.0	39.0	17.0	25.0	
944200741017	656.0	2138.0	9345.0	11164.0	80.0	108.0	413.0	539.0	
944201906010	-35.0	31.0	14.0	33.0	93.0	142.0	408.0	916.0	
944202974469	58.0	70.0	121.0	848.0	1115.0	718.0	152.0	46.0	
944203317546	-34.0	-36.0	-23.0	-45.0	5.0	-15.0	-18.0	-16.0	
944203572375	48.0	2.0	22.0	29.0	17.0	2.0	26.0	24.0	
944205597960	24.0	39.0	54.0	42.0	30.0	243.0	1079.0	907.0	
944206578373	32.0	18.0	-35.0	32.0	88.0	379.0	367.0	72.0	
944208458578	334.0	41.0	3.0	15.0	58.0	72.0	310.0	941.0	
944209354370	-2.0	21.0	-6.0	13.0	275.0	50.0	-5.0	-7.0	
944209416307	45.0	164.0	1091.0	229.0	21.0	-5.0	3.0	-14.0	
944210692938	44.0	43.0	140.0	895.0	42.0	127.0	625.0	666.0	
944211839396	23.0	156.0	38.0	24.0	38.0	6.0	26.0	23.0	
944212176564	-8.0	-20.0	-29.0	-46.0	43.0	77.0	195.0	871.0	
944213920813	66.0	11.0	17.0	20.0	238.0	65.0	39.0	14.0	
944216035983	28.0	19.0	13.0	50.0	365.0	99.0	20.0	7.0	
944217291133	621.0	532.0	242.0	222.0	35.0	92.0	405.0	746.0	
944218825317	18.0	2.0	4.0	12.0	30.0	-12.0	-2.0	-40.0	
944219149367	1449.0	634.0	2917.0	502.0	175.0	51.0	0.0	9.0	
944219525114	-69.0	-10.0	52.0	339.0	111.0	171.0	524.0	437.0	
944221423706	37.0	23.0	130.0	894.0	4476.0	924.0	383.0	173.0	
944223621701	21.0	31.0	98.0	746.0	87.0	248.0	1020.0	1830.0	
944223688679	95.0	326.0	246.0	62.0	447.0	136.0	27.0	-7.0	
944224664179	48.0	47.0	107.0	719.0	1659.0	204.0	83.0	40.0	
944225258162	-17.0	18.0	87.0	893.0	363.0	113.0	66.0	16.0	
944225290738	647.0	268.0	101.0	88.0	20.0	14.0	36.0	-3.0	
944225408447	57.0	19.0	22.0	26.0	193.0	867.0	1278.0	265.0	
944225543593	3.0	-1.0	16.0	3.0	56.0	34.0	28.0	56.0	
944226039021	30.0	-18.0	-14.0	-2.0	895.0	206.0	86.0	28.0	
944226664557	-27.0	-1.0	97.0	865.0	45.0	160.0	898.0	418.0	
944227100835	4.0	21.0	110.0	898.0	8.0	-16.0	12.0	-10.0	
944227058816	-25.0	-19.0	-9.0	9.0	229.0	52.0	-8.0	-10.0	
944227165167	6.0	-2.0	35.0	-27.0	97.0	157.0	249.0	561.0	
944227193104	12.0	-1.0	8.0	-15.0	2003.0	424.0	87.0	7.0	
944229025107	-12.0	16.0	94.0	879.0	869.0	101.0	40.0	-2.0	
944229114765	41.0	23.0	26.0	19.0	131.0	1102.0	266.0	53.0	
944229276616	-47.0	10.0	-6.0	-7.0	546.0	964.0	194.0	22.0	
944229643024	10.0	-7.0	-34.0	-20.0	-3.0	9.0	11.0	247.0	
944229815754	-43.0	6.0	130.0	859.0	371.0	1658.0	1102.0	303.0	
944230192037	236.0	72.0	34.0	25.0	-4.0	-4.0	-11.0	-5.0	
944231150044	768.0	151.0	23.0	7.0	399.0	629.0	2218.0	823.0	
944231388245	7.0	-13.0	27.0	0.0	175.0	64.0	-16.0	-27.0	
944232477045	2.0	26.0	30.0	23.0	30.0	51.0	163.0	606.0	
944233006940	-11.0	70.0	136.0	647.0	248.0	1030.0	3097.0	535.0	
944233313347	27.0	7.0	60.0	777.0	145.0	37.0	21.0	-15.0	
944234005975	-5.0	-6.0	21.0	-15.0	45.0	-9.0	16.0	13.0	
944234453929	24.0	51.0	257.0	421.0	3.0	31.0	60.0	222.0	
944238035000	5.0	-2.0	123.0	865.0	2786.0	585.0	182.0	55.0	
944238170382	440.0	201.0	170.0	204.0	134.0	32.0	-14.0	-23.0	
944240039542	-12.0	8.0	-14.0	-23.0	255.0	1022.0	922.0	254.0	
